document_id,Title,Cleaned Abstract,Sentiment
65,DS-1000: A Natural and Reliable Benchmark for Data Science Code Generation,introduc d code gener benchmark thousand data scienc problem span seven python librari numpi panda compar prior work d incorpor three core featur first problem reflect diver realist practic use case sinc collect stackoverflow second automat evalu highli specif reliabl across codexpredict solut evalu accept incorrect achiev multicriteria metric check function correct run test case surfaceform constraint restrict api usag keyword final proactiv defend memor slightli modifi problem differ origin stackoverflow sourc consequ model cannot answer correctli memor solut pretrain current best public system codex achiev accuraci leav ampl room improv releas benchmark httpsdscodegengithubio,Negative
66,A New Era of Learning: Considerations for ChatGPT as a Tool to Enhance Statistics and Data Science Education,abstract chatgpt one mani gener artifici intellig ai tool emerg recent creat controversi educ commun concern potenti use plagiar undermin student abil think independ recent public critic use chatgpt gener ai tool classroom littl focu potenti benefit articl focus potenti chatgpt educ tool statist data scienc encourag reader consid histori trepid surround introduc new technolog classroom calcul explor possibl leverag chatgpt capabl statist data scienc educ provid exampl chatgpt aid develop cours materi suggest educ prompt student interact chatgpt respons educ guid use gener ai tool statist data scienc classroom student educ leverag benefit technolog,Neutral
67,What is Data Science?,commun websit httpscacmacmorg featur dozen blogger blogcacm commun issu commun well publish select post excerpt twitter follow u twitter httptwittercomblogcacm httpscacmacmorgblogsblogcacm kobi mike orit hazzan consid multipl definit need pin data scienc,Neutral
68,ChatGPT for Teaching and Learning: An Experience from Data Science Education,chatgpt implement applic larg languag model gain signific popular sinc initi releas research explor way har practic benefit chatgpt realworld scenario educ research investig potenti variou subject eg program mathemat financ clinic decis support etc howev limit attent given applic data scienc educ paper aim bridg gap util chatgpt data scienc cours gather perspect student present experi feedback use chatgpt teach learn data scienc educ find distinguish data scienc educ disciplin also uncov new opportun challeng associ incorpor chatgpt data scienc curriculum,Neutral
69,Data Science and Applications,paper investig signific data scienc indispens instrument decisionmak across multipl domain studi examin histori concept method applic data scienc well impact numer industri artifici intellig manufactur fintech govern astroinformat ecommerc educ biotechnolog erp enterpris resourc plan softwar first develop sap modern erp system emerg accord research paper highlight signific data scienc enhanc function enterpris resourc plan erp system aibas solut offer mahaaai firm autom human task chatbas erp applic virtual assist assist support avoid human effort conclus studi emphas signific benefit data scienc erp industri includ selfservic analyt predict prescript analysi,Neutral
70,The R Language: An Engine for Bioinformatics and Data Science,r program languag approach th birthday last three decad achiev promin role statist bioinformat data scienc gener current rank among top popular languag worldwid commun produc ten thousand extens packag scope rang machin learn transcriptom data analysi review provid histor chronicl r becam today describ current featur capabl also illustr major tool r current r editor integr develop environ ide r shini web server r method machin learn relationship program languag also discus role r scienc gener driver reproduc overal hope provid complet snapshot r today practic compendium major featur applic program languag,Neutral
71,Foundations of Data Science,comput scienc academ disciplin began emphasi program languag compil oper system mathemat theori support area cours theoret comput scienc cover finit automaton regular express contextfre languag comput studi algorithm ad import compon theori emphasi make comput use today fundament chang take place focu applic mani reason chang merg comput commun play import role enhanc abil observ collect store data natur scienc commerc field call chang understand data handl modern set emerg web social network central aspect daili life present opportun challeng theori,Neutral
72,"Smart Health Intelligent Healthcare Systems in the Metaverse, Artificial Intelligence, and Data Science Era",recent decad healthcar organ around world increasingli appreci valu inform technolog varieti applic three new technolog advanc impact smart health metavers artifici intellig ai data scienc metavers intersect three major technolog ai augment realiti ar virtual realiti vr metavers provid new possibl potenti still emerg increas work effici enabl artifici intellig data scienc hospit improv patient care also cut cost workload healthcar providersth avail big data enabl data scientist use data descript predict prescript analyt articl review multipl case studi literatur ai data scienc applic hospit administr articl also present unresolv research question challeng applic metavers ai data scienc smart health context,Neutral
73,Training and Evaluating a Jupyter Notebook Data Science Assistant,studi feasibl data scienc assist power sequencetosequ transform train new model jupyt publicli avail jupyt notebook github repositori develop new metric data scienc problem dsp dsp collect problem curat pedagog notebook dataset depend natur languag markdown problem descript assertbas unit test notebook design test univers student masteri variou python implement math data scienc leverag studi abil jupyt understand pas test analyz content dsp valid qualiti find given sampl attempt jupyt abl solv dsp problem present variou ablat statist analys compar dsp recent natur languag code benchmark,Negative
74,"Machine Learning in Python: Main developments and technology trends in data science, machine learning, and artificial intelligence",smarter applic make better use insight glean data impact everi industri research disciplin core revolut lie tool method drive process massiv pile data gener day learn take use action deep neural network along advanc classic machin learn scalabl generalpurpos graphic process unit gpu comput becom critic compon artifici intellig enabl mani astound breakthrough lower barrier adopt python continu prefer languag scientif comput data scienc machin learn boost perform product enabl use lowlevel librari clean highlevel api survey offer insight field machin learn python take tour import topic identifi core hardwar softwar paradigm enabl cover widelyus librari concept collect togeth holist comparison goal educ reader drive field python machin learn forward,Positive
75,CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories,crispdmcrossindustri standard process data mine origin second half nineti thu two decad old accord mani survey user poll still de facto standard develop data mine knowledg discoveri project howev undoubtedli field move consider twenti year data scienc lead term favour data mine paper investig whether context crispdm still fit purpos data scienc project argu project goaldirect processdriven process model view still larg hold hand data scienc project becom exploratori path project take becom vari flexibl model call suggest outlin trajectorybas model might look like use categoris data scienc project goaldirect exploratori data manag examin seven reallif exemplar exploratori activ play import role compar use case extract nist big data public work group anticip categoris help project plan term time cost characterist,Neutral
76,Big-Data Science in Porous Materials: Materials Genomics and Machine Learning,combin metal node organ linker potenti synthes million possibl metalorgan framework mof fact mani materi open mani excit avenu also creat new challeng simpli mani materi process use convent brute forc method review show mani materi allow u use bigdata method power techniqu studi materi discov complex correl first part review give introduct principl bigdata scienc show select appropri train set survey approach use repres materi featur space review differ learn architectur well evalu interpret strategi second part review differ approach machin learn appli porou materi particular discus applic field ga storag separ stabil materi electron properti synthesi given increas interest scientif commun machin learn expect list rapidli expand come year,Neutral
77,"QIIME 2: Reproducible, interactive, scalable, and extensible microbiome data science",present qiim opensourc microbiom data scienc platform access user span microbiom research ecosystem scientist engin clinician polici maker qiim provid new featur drive next gener microbiom research includ interact spatial tempor analysi visual tool support metabolom shotgun metagenom analysi autom data proven track ensur reproduc transpar microbiom data scienc,Neutral
78,Spectral Methods for Data Science: A Statistical Perspective,spectral method emerg simpl yet surprisingli effect approach extract inform massiv noisi incomplet data nutshel spectral method refer collect algorithm built upon eigenvalu resp singular valu eigenvector resp singular vector properli design matric construct data diver array applic found machin learn data scienc signal process due simplic effect spectral method use standalon estim also frequent employ initi sophist algorithm improv perform studi spectral method trace back classic matrix perturb theori method moment past decad wit tremend theoret advanc demystifi efficaci len statist model aid nonasymptot random matrix theori monograph aim present systemat comprehens yet access introduct spectral method modern statist perspect highlight algorithm implic diver largescal applic particular exposit gravit around sever central question span variou applic character sampl effici spectral method reach target level statist accuraci assess stabil face random nois miss data adversari corrupt addit convent ell perturb analysi present systemat ellinfti ellinfti perturb theori eigenspac singular subspac recent becom avail owe power leaveoneout analysi framework,Neutral
79,Diversifying the genomic data science research community,past year explos genom data collect cloud comput revolut made comput data scienc research access anyon web browser internet connect howev student institut limit resourc receiv rel littl exposur curriculum profession develop opportun lead career genom data scienc broaden particip genom research scientif commun need support program local educ research underserv institut ui includ commun colleg histor black colleg univers hispanicserv institut tribal colleg univers support ethnic racial socioeconom underrepres student unit state form genom data scienc commun network support student faculti network identifi opportun broaden access genom data scienc opportun includ expand access infrastructur data provid ui faculti develop opportun strengthen collabor among faculti recogn ui teach research excel foster student awar develop modular opensourc resourc expand coursebas undergradu research experi cure build curriculum support student profession develop research remov financi barrier fund program collabor support,Neutral
80,AutoDS: Towards Human-Centered Automation of Data Science,data scienc d project often follow lifecycl consist labori task data scientist domain expert eg data explor model train etc till recent machin learningml research develop promis autom techniqu aid data worker task paper introduc autod autom machin learn automl system aim leverag latest ml autom techniqu support data scienc project data worker need upload dataset system automat suggest ml configur preprocess data select algorithm train model suggest present user via webbas graphic user interfac notebookbas program user interfac goal offer systemat investig user interact percept use autod system solv data scienc task studi autod profession data scientist one group use autod complet data scienc project expect autod improv product yet surprisingli find model produc autod group higher qualiti less error lower human confid score reflect find present design implic incorpor autom techniqu human work data scienc lifecycl,Negative
81,"How do Data Science Workers Collaborate? Roles, Workflows, and Tools",today promin data scienc within organ given rise team data scienc worker collabor extract insight data oppos individu data scientist work alon howev still lack deep understand data scienc worker collabor practic work conduct onlin survey particip work variou aspect data scienc focus report interact eg manag engin differ tool eg jupyt notebook found data scienc team extrem collabor work varieti stakehold tool six common step data scienc workflow eg clean data train model also found collabor practic worker employ document vari accord kind tool use base find discus design implic support data scienc team collabor futur research direct,Neutral
82,"The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large",increasingli larger number softwar system today includ data scienc compon descript predict prescript analyt collect data scienc stage acquisit cleaningcur model refer data scienc pipelin facilit research practic data scienc pipelin essenti understand natur typic stage data scienc pipelin connect pipelin differ theoret represent practic today fulli understand architectur characterist data scienc pipelin work present threeprong comprehens studi answer stateoftheart data scienc inthesmal data scienc inthelarg studi analyz three dataset collect propos data scienc pipelin relat concept theori collect implement curat data scienc pipelin kaggl competit understand data scienc inthesmal collect matur data scienc project github understand data scienc inthelarg studi led three represent data scienc pipelin captur essenc subject theori inthesmal inthelarg,Neutral
83,Leveraging Data Science to Combat COVID-19: A Comprehensive Review,covid infecti diseas caus sarscov viru declar pandem world health organis march midaugust million peopl test posit worldwid infect grow rapidli tremend effort made fight diseas paper attempt systematis variou covid research activ leverag data scienc defin data scienc broadli encompass variou method toolsinclud artifici intellig ai machin learn ml statist model simul data visualizationthat use store process extract insight data addit review rapidli grow bodi recent research survey public dataset repositori use work track covid spread mitig strategi part present bibliometr analysi paper produc short span time final build insight highlight common challeng pitfal observ across survey work also creat live resourc repositori httpsgithubcomdatascienceandcovidleveragingdatasciencetocombatcovidacomprehensivereview intend keep updat latest resourc includ new paper dataset,Neutral
84,Surgical data science and artificial intelligence for surgical education,surgic data scienc sd aim improv qualiti intervent healthcar valu captur organ analysi model procedur data data captur increas artifici intellig ai advanc sd help unlock augment autom coach feedback assess decis support surgeri review major concept sd ai appli surgic educ surgic oncolog,Neutral
85,Data Science,le inform dtaill propo de chaqu cour sont dispon en cliquant sur le code cour en particuli lhorair prci jour par jour et le locaux correspond sont access via la rubriqu horair detail inform cours unit avail click cours code particular detail schedul day day correspond classroom provid schedul subtitl,Neutral
86,Automating data science,given complex data scienc project relat demand human expertis autom potenti transform data scienc process,Neutral
87,"CRISP-DM for Data Science: Strengths, Weaknesses and Potential Next Steps",paper explor strength weak crispdm use data scienc project paper explor key action data scienc team use crispdm consid address crispdm weak brief crispdm popular framework team use execut data scienc project provid easi understand descript data scienc project workflow ie data scienc life cycl howev crispdm project phase miss key aspect data scienc project life cycl addit crispdm taskfocus approach fail address team priorit task gener collabor commun henc paper also describ crispdm could combin team coordin framework scrum data driven scrum newer collabor framework develop address uniqu data scienc coordin challeng,Negative
88,Finding Related Tables in Data Lakes for Interactive Data Science,mani modern data scienc applic build data lake schemaagnost repositori data file data product offer limit organ manag capabl need build data lake search capabl data scienc environ scientist analyst find tabl schema workflow dataset use task hand develop search manag solut jupyt notebook data scienc platform enabl scientist augment train data find potenti featur extract clean data find joinabl linkabl tabl core method also gener set comput task involv execut program script,Neutral
89,Big Earth Data science: an information framework for a sustainable planet,abstract digit transform societi coupl increas exploit natur resourc make sustain challeng complex dynam ever chang unlik stop even deceler near futur urgent need new scientif approach advanc form evidencebas decisionmak toward benefit societi economi environ understand impact interrelationship human societi natur earth system process propos new engin disciplin big earth data scienc scienc call provid methodolog tool gener knowledg diver numer complex data sourc necessari ensur sustain human societi essenti preserv planet earth big earth data scienc aim util data earth observ social sen develop theori understand mechan socialphys system oper evolv manuscript introduc univers discours character new scienc foundat paradigm methodolog possibl technolog framework implement appli ecosystem approach casearth geoss present exampl intern implement attempt conclus discus import challeng collabor opportun,Neutral
90,Data science in economics: comprehensive review of advanced machine learning and deep learning methods,paper provid stateoftheart investig advanc data scienc emerg econom applic analysi perform novel data scienc method four individu class deep learn model hybrid deep learn model hybrid machin learn ensembl model applic domain includ wide diver rang econom research stock market market ecommerc corpor bank cryptocurr prisma method systemat literatur review methodolog use ensur qualiti survey find reveal trend follow advanc hybrid model base accuraci metric outperform learn algorithm expect trend converg toward advanc sophist hybrid deep learn model,Positive
91,Fixed Point Strategies in Data Science,goal articl promot use fix point strategi data scienc show provid simplifi unifi framework model analyz solv great varieti problem seen constitut natur environ explain behavior advanc convex optim method well recent nonlinear method data scienc formul term paradigm go beyond minim concept involv construct nash equilibrium monoton inclus review pertin tool fix point theori describ main stateoftheart algorithm provenli converg fix point construct also incorpor addit ingredi stochast blockimplement noneuclidean metric provid enhanc applic signal imag process machin learn statist neural network invers problem discus,Negative
92,A new paradigm for accelerating clinical data science at Stanford Medicine,stanford medicin build new data platform academ research commun better clinic data scienc hospit larg amount patient data research demonstr abil reus data ai approach deriv novel insight support patient care improv care qualiti howev tradit data warehous honest broker approach current use scalabl establish new secur big data platform aim reduc time access analyz data platform data anonym preserv patient data privaci made avail preparatori institut review board irb submiss furthermor data standard analysi done stanford replic elsewher use analyt code clinic concept final analyt data warehous integr secur data scienc comput facil support larg scale data analyt ecosystem design bring modern data scienc commun highli sensit clinic data secur collabor big data analyt environ goal enabl bigger better faster scienc,Positive
93,Making data science systems work,data scienc system made work may seem whether system work function technic design also accomplish ongo form discretionari work mani actor base six month ethnograph fieldwork corpor data scienc team describ actor involv corpor project negoti work system work assess whether work negoti laid foundat extent system ultim work describ three main find first alreadyexist technolog essenti refer point determin whether system work second situat resolut develop challeng continu reshap understand whether system work third busi goal especi negoti balanc data scienc imper affect system work conclud takeaway critic data studi orient research focu organiz cultur aspect data scienc thirdparti platform underli data scienc system way engag practition imagin system work,Neutral
94,Vamsa: Automated Provenance Tracking in Data Science Scripts,recent lot ongo research area fair bia explain machin learn ml model due selfevid regulatori requir variou ml applic make follow observ approach requir robust understand relationship ml model data use train work introduc ml proven track problem fundament idea automat track column dataset use deriv featureslabel ml model discus challeng captur inform context python common languag use data scientist present vamsa modular system extract proven python script without requir chang user code use k real data scienc script verifi effect vamsa term coverag perform also evalu vamsa accuraci smaller subset manual label data analysi show vamsa precis recal rang latenc order millisecond averag size script draw experi deploy ml model product also present exampl vamsa help automat identifi model affect data corrupt issu,Negative
95,Data Science in the Food Industry.,food safeti one main challeng agrifood industri expect address current environ tremend technolog progress consum lifestyl prefer constant state flux food chain transpar trust driver food integr control improv effici econom growth similarli circular economi great potenti reduc wastag improv effici oper multistakehold ecosystem throughout food chain cycl food commod expo multipl hazard result high likelihood contamin biolog chemic hazard may natur present stage food product whether accident introduc fraudul impos risk consum health faith food industri nowaday massiv amount data gener next gener food safeti monitor system along entir food chain primari product includ also internet thing medium devic data use benefit societi scientif field data scienc vital player help make possibl,Negative
96,Re-Shape: A Method to Teach Data Ethics for Data Science Education,data becom central technolog servic humancomput interact hci design make ethic use data technolog given critic attent throughout design process howev littl research ethic educ comput scienc explicitli address data ethic present analyz reshap method teach student ethic implic data collect use reshap part educ environ build upon idea cultiv care allow student collect process visual physic movement data way support critic reflect coordin classroom activ data data privaci humancent system data scienc also use case studi reshap undergradu comput scienc cours explor prospect limit instruct design educ technolog reshap leverag person data teach data ethic,Neutral
97,A Survey on Data Pricing: From Economics to Data Science,data invalu assess valu data object systemat quantit price data inform good gener studi practic dispers area principl econom market electron commerc data manag data mine machin learn articl present unifi interdisciplinari comprehens overview import direct examin variou motiv behind data price understand econom data price review develop evolut price model accord seri fundament principl discus digit product data product also consid seri challeng direct futur work,Neutral
98,Teaching Creative and Practical Data Science at Scale,abstractnolan templ lang comput statist curriculum advoc shift statist educ broadli includ comput time sinc individu train comput statist becom increasingli employ burgeon data scienc field respons univers develop new cours program meet grow demand data scienc educ address demand creat data scienc practic largeenrol undergradu cours present goal teach cours includ conceptu data scienc creativ problem solv focu projectbas learn priorit practic applic teach use standard tool best practic scale educ coursework enabl handson classroom learn largeenrol cours throughout cours also emphas social context data ethic best prepar student interdisciplinari impact natur work highlight creativ problem solv strategi teach automationresili skill provid student opportun creat uniqu data scienc project demonstr technic creativ capac,Negative
99,Passing the Data Baton: A Retrospective Analysis on Data Science Work and Workers,data scienc rapidli grow disciplin organ increasingli depend data scienc work yet ambigu around data scienc data scientist make difficult visual research identifi impact research trajectori conduct retrospect analysi data scienc work worker describ within data visual human comput interact data scienc literatur analysi synthesi comprehens model describ data scienc work breakdown data scientist nine distinct role summaris reflect role visual throughout data scienc work vari need data scientist tool support find intend arm visual research concret frame data scienc hope help surfac innov opportun impact data scienc work,Negative
100,The Role of Academia in Data Science Education,demand data scientist continu grow univers tri figur best contribut train workforc howev appear consensu fundament principl expertis skill knowledgebas need defin academ disciplin argu data scienc disciplin rather umbrella term use describ complex process involv one data scientist possess necessari expertis team data scientist nonoverlap complementari skill provid recommend take account design data scienc academ program,Neutral
101,The data science life cycle,cycl trace way defin landscap data scienc,Neutral
102,Glossary for public health surveillance in the age of data science,public health surveil ongo systemat collect analysi interpret data close integr time dissemin result inform respons prevent control diseas injuri rapid develop data scienc encompass big data artifici intellig exponenti growth access highli heterogen healthrel data healthcar provid usergener onlin content field surveil health monitor chang rapidli therefor right time short glossari key term public health surveil emphasi new datasci develop field,Neutral
103,A Fresh Look at Introductory Data Science,abstract prolifer vast quantiti avail dataset larg complex natur challeng univers keep demand graduat train statist comput set skill requir effect plan acquir manag analyz commun find data keep demand attract student earli data scienc well provid solid foray field becom increasingli import present case studi introductori undergradu cours data scienc design address need offer duke univers cours prerequisit serv wide audienc aspir statist data scienc major well human social scienc natur scienc student discus uniqu set challeng pose offer cours light challeng present detail discus pedagog design element content structur comput infrastructur assess methodolog cours also offer repositori contain teach materi opensourc along supplementari materi r code reproduc figur found articl,Neutral
104,Human-AI Collaboration in Data Science,rapid advanc artifici intellig ai chang live mani way one applic domain data scienc new techniqu autom creation ai known autoai automl aim autom work practic data scientist autoai system capabl autonom ingest preprocess data engin new featur creat score model base target object eg accuraci runtim effici though yet wide adopt interest understand autoai impact practic data scienc conduct interview data scientist work larg multin technolog compani practic data scienc variou busi set goal understand current work practic practic might chang autoai reaction mix inform express concern trend autom job also strongli felt inevit despit concern remain optimist futur job secur due view futur data scienc work collabor human ai system autom human expertis indispens,Neutral
105,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation",rise big data increas need practition space increas opportun research understand workflow design new tool improv data scienc often describ datadriven compris unambigu data proceed regular step analysi howev view focus abstract process pipelin workflow less data scienc worker engag data paper build work cscw hci research describ way scientist scholar engin other work data analys interview data scienc profession set five approach data along dimens intervent data given captur curat design creat data scienc worker develop intuit sen data process activ shape data propos new way appli intervent analyt make sen complex activ around data practic,Neutral
106,Process Mining for Python (PM4Py): Bridging the Gap Between Process- and Data Science,process mine ie subfield data scienc focus analysi event data gener execut busi process seen tremend chang past two decad start earli limit tool support nowaday sever softwar tool ie opensourc eg prom apromor commerci eg disco celoni processgold etc exist commerci process mine tool provid limit support implement custom algorithm moreov commerci opensourc process mine tool often access graphic user interfac hamper usag largescal experiment set initi rapidprom provid process mine support scientif workflowbas data scienc suit rapidmin howev offer limit support algorithm custom light aforement paper present novel process mine librari ie process mine python pmpi aim bridg gap provid integr stateoftheart data scienc librari eg panda numpi scipi scikitlearn provid global overview architectur function pmpi accompani repres exampl usag,Positive
107,Data Management for Data Science - Towards Embedded Analytics,textabstractth rise data scienc caus influx new usersin need data manag solut howev insteadof util exist rdbm solut opt tous stack independ solut data storag andprocess glu togeth script languag notbecaus need function integratedrdbm provid rather exist rdbm implement cater use case solv theseissu propos new class data manag systemsembed analyt system system tightlyintegr analyt tool provid fast effici access data store within workw describ uniqu challeng opportun wrtworkload resili cooper face thisnew class system step taken towardsaddress duckdb system,Neutral
108,"Data Science in 2020: Computing, Curricula, and Challenges for the Next 10 Years",abstract past year new data scienc cours program prolifer collegi level faculti administr enter race provid data scienc train attract new student road map teach data scienc remain elus colleg univers faculti teach data scienc cours develop data scienc curriculum survey learn curriculum comput tool challeng face classroom faculti report teach varieti comput skill introductori data scienc albeit fewer comput topic statist topic one biggest challeng face teach comput diver audienc vari prepar everevolv natur data scienc major hurdl faculti teach data scienc cours call data scienc teach resourc echo mani respons,Neutral
109,Web Scraping in the Statistics and Data Science Curriculum: Challenges and Opportunities,abstract best practic statist data scienc cours includ use real relev data well teach entir data scienc cycl start import data rich sourc real current data web data often present store structur need wrangl transform readi analysi web resourc student natur turn find data data analysi project without formal instruct get data structur format often resort copypast manual entri spreadsheet time consum errorpron teach web scrape provid opportun bring data curriculum effect effici way articl explain web scrape work implement pedagog sound technic execut way variou level statist data scienc curriculum provid classroom activ connect modern comput techniqu tradit statist topic final share opportun web scrape bring classroom well challeng instructor tip avoid,Negative
110,Interrogating Data Science,data scienc provid power tool method cscw research contribut insightfulstudi convent workpractic data scienc particularli machin learn howeverrec research shown human skill collabor decisionmak play import rolesin defin data acquir data curat data design data creat data workshopgath research practition togeth take collect critic look data scienceworkpractic workpractic make crucial often invis impact theform work data scienc understand human social contribut data sciencepipelin construct redesign work technolog new insight theori andchalleng,Neutral
111,Big Data Science on COVID-19 Data,current era big data high volum big data gener collect wide varieti rich data sourc rapid rate embed big data use inform valuabl knowledg exampl includ healthcar epidemiolog data data relat patient suffer viral diseas like coronaviru diseas covid knowledg discov epidemiolog data via data scienc help research epidemiologist polici maker get better understand diseas may inspir come way detect control combat diseas paper present data scienc solut analyz big covid epidemiolog data solut help user get better understand inform confirm case covid evalu result show benefit data scienc solut discov use knowledg big covid data,Positive
112,Ten Research Challenge Areas in Data Science,although data scienc build knowledg comput scienc mathemat statist disciplin data scienc uniqu field mani mysteri unlock challeng scientif question press question societ import articl start metaquest data scienc disciplin elabor ten idea basi research agenda data scienc,Neutral
113,Theory-Guided Data Science: A New Paradigm for Scientific Discovery from Data,data scienc model although success number commerci domain limit applic scientif problem involv complex physic phenomenon theoryguid data scienc tgd emerg paradigm aim leverag wealth scientif knowledg improv effect data scienc model enabl scientif discoveri overarch vision tgd introduc scientif consist essenti compon learn generaliz model produc scientif interpret model tgd aim advanc scientif understand discov novel domain insight inde paradigm tgd start gain promin number scientif disciplin turbul model materi discoveri quantum chemistri biomed scienc biomark discoveri climat scienc hydrolog paper formal conceptu paradigm tgd present taxonomi research theme tgd describ sever approach integr domain knowledg differ research theme use illustr exampl differ disciplin also highlight promis avenu novel research realiz full potenti theoryguid data scienc,Positive
114,Veridical data science,signific predict comput stabil pc three core principl data scienc emb scientif principl predict replic datadriven decis make recogn central role comput base principl propos pc framework includ workflow document r markdown jupyt notebook pc framework aim respons reliabl reproduc transpar analysi across field scienc social scienc engin busi govern use recommend system scientif hypothesi gener experiment design particular propos basic pc infer reliabl measur data result extend statist infer much broader scope current data scienc practic entail build expand principl statist machin learn scientif inquiri propos predict comput stabil pc framework verid data scienc framework compos workflow document aim provid respons reliabl reproduc transpar result across data scienc life cycl pc workflow use predict realiti check consid import comput data collectionstorag algorithm design augment predict comput overarch stabil principl stabil expand statist uncertainti consider assess human judgment call impact data result data modelalgorithm perturb part pc workflow develop pc infer procedur name pc perturb interv pc hypothesi test investig stabil data result rel problem formul data clean model decis interpret illustr pc infer neurosci genom project other moreov demonstr favor perform exist method term receiv oper characterist roc curv highdimension spar linear model simul includ wide rang misspecifi model final propos pc document base r markdown jupyt notebook publicli avail reproduc code narr back human choic made throughout analysi pc workflow document demonstr genom case studi avail zenodo,Negative
115,Algorithmic Government: Automating Public Services and Supporting Civil Servants in using Data Science Technologies,data scienc technolog artifici intellig ai internet thing iot big data behavioralpredict analyt blockchain poi revolution govern creat new gener govtech startup impact smartif public servic nation infrastructur much signific comparison sector given govern function import everi institut individu potenti govtech system includ chatbot intellig assist public engag roboadvisor support civil servant realtim manag nation infrastructur use iot blockchain autom complianceregul public record secur store blockchain distribut ledger onlin judici disput resolut system lawsstatut encod blockchain smart contract govern potenti major client also public champion new data technolog review paper use simpl taxonomi govern servic provid overview data scienc autom deploy govern worldwid goal review paper encourag comput scienc commun engag govern develop new system transform public servic support work civil servant,Neutral
116,50 Years of Data Science,abstract year ago john tukey call reform academ statist futur data analysi point exist asyet unrecogn scienc whose subject interest learn data data analysi ten year ago john chamber jeff wu bill cleveland leo breiman independ urg academ statist expand boundari beyond classic domain theoret statist chamber call emphasi data prepar present rather statist model breiman call emphasi predict rather infer cleveland wu even suggest catchi name data scienc envis field recent grow phenomenon emerg data scienc program major univers includ uc berkeley nyu mit promin univers michigan septemb announc data scienc initi aim hire new faculti teach new program signific overlap curricular subject matter tradit statist cours yet mani academ statistician perceiv new program cultur appropri articl review ingredi current data scienc moment includ recent commentari data scienc popular medium howwheth data scienc realli differ statist nowcontempl field data scienc amount superset field statist machin learn add technolog scale big data chosen superset motiv commerci rather intellectu develop choos way like miss realli import intellectu event next year scienc soon becom data mine immin revolut data scienc mere scale instead emerg scientif studi data analysi sciencewid futur abl predict propos chang data analysi workflow would impact valid data analysi across scienc even predict impact fieldbyfield draw work tukey cleveland chamber breiman present vision data scienc base activ peopl learn data describ academ field dedic improv activ evidencebas manner new field better academ enlarg statist machin learn today data scienc initi abl accommod shortterm goal base present tukey centenni workshop princeton nj septemb,Positive
117,A Second Chance to Get Causal Inference Right: A Classification of Data Science Tasks,causal infer observ data goal mani data analys health social scienc howev academ statist often frown upon data analys causal object introduct term data scienc provid histor opportun redefin data analysi way natur accommod causal infer observ data like other organ scientif contribut data scienc three class task descript predict counterfactu predict includ causal infer explicit classif data scienc task necessari discus data assumpt analyt requir success accomplish task argu failur adequ describ role subjectmatt expert knowledg data analysi sourc widespread misunderstand data scienc specif causal analys typic requir good data algorithm also domain expert knowledg discus implic use data scienc guid decisionmak real world train data scientist,Negative
118,"Practitioners Teaching Data Science in Industry and Academia: Expectations, Workflows, and Challenges",data scienc grow promin across academia industri still littl formal consensu teach mani peopl current teach data scienc practition comput research academia data scientist industri understand practitionerinstructor pas knowledg onto novic contrast teach tradit form program interview data scientist teach set rang smallgroup workshop larg onlin cours found must empath diver array student background expect teach technic workflow integr authent practic surround code data commun face challeng involv authent versu abstract softwar setup find curat pedagogicallyrelev dataset acclim student live uncertainti data analysi find point way toward better tool data scienc educ help bring data literaci peopl around world,Positive
119,Outbreak analytics: a developing data science for informing the response to emerging pathogens,despit continu effort improv health system worldwid emerg pathogen epidem remain major public health concern effect respons outbreak reli time intervent ideal inform avail sourc data collect visual analysi outbreak data becom increasingli complex owe diver type data question avail method address recent advanc led rise outbreak analyt emerg data scienc focus technolog methodolog aspect outbreak data pipelin collect analysi model report inform outbreak respons articl assess current state field lay context outbreak respons critic review common analyt compon interdepend data requir type inform provid inform oper real time discus challeng opportun conclud potenti role outbreak analyt improv understand respons outbreak emerg pathogen articl part theme issu model infecti diseas outbreak human anim plant epidem forecast control theme issu link earlier issu model infecti diseas outbreak human anim plant approach import theme,Neutral
120,SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle,machin learn ml applic becom increasingli common mani domain ml system execut workload includ numer comput framework librari ml algorithm librari special system deep neural network distribut ml system focu primarili effici model train score howev data scienc process exploratori deal underspecifi object wide varieti heterogen data sourc therefor addit tool employ data engin debug requir boundari cross unnecessari manual effort lack optim across lifecycl paper introduc systemd open sourc ml system endtoend data scienc lifecycl data integr clean prepar local distribut feder ml model train debug serv end aim provid stack declar languag rlike syntax differ lifecycl task user differ expertis describ overal system architectur explain major design decis motiv lesson learn apach systemml discus key featur research direct final provid preliminari result show potenti endtoend lifecycl optim,Neutral
